Unit Inventory Status,Unit Inventory Status Description,
Available,The unit available to a location,
InBound,The unit inbound to a location,
Reserved,The unit is reserved for a package,
Departed,The unit is departed to a location or address,
Received,The unit is received in a location,
Missing,The unit is not received as part of the package,
Unexpected,The unit is an unexpected unit found during Store counting,
Removed,The unit status is updated to 'Removed' when a unit is written off/subtracted using a subtraction adjustment type,
PendingReceipt,The unit is PendingReceipt unit found for a package receiving unit.,
TemporaryUnavailable,The unit is temporary unavailable due to an external event such as loaning or tailoring,
